schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved
3179,Konrad-Haenisch-Schule (Grundschule),Grundschule,grundschulen,"Grundschule, Haupt- und Realschule, Weiterführende allgemeinbildende Schule",1-10,Lauterbacher Straße 2,60386,Frankfurt am Main,Frankfurt am Main,Hessen,Fechenheim,50.1344915,8.7523504,+49 69 212 45397,+49 69 212 45415,poststelle.konrad-haenisch-schule@stadt-frankfurt.de,http://www.konrad-haenisch-schule.com,Stadt Frankfurt am Main,,,Shahrooz Mahdavi,Holger Schmitt,590.0,29.0,"siehe ""Erläuterungen zu der Unterrichtszeit""",,"Schwerpunkt Sport, Schwerpunkt Sport",,,Deutsch,Englisch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",,,"Englisch, Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 2,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner, Mittagessen, Pausenverkauf",,,"""Konny"" Freunde und Förderverein der Konrad-Haenisch-Schule, Ansprechpartnerin: Frau Khederzadeh. Sschneiderbande@aol.com",Schulzeitung,"Konrad Haenisch (1876 – 1925), Politiker, Reformer, mitverantwortlich für die Einberufung der Reichsschulkonferenz 1920",,,,31.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/konrad-haenisch-schule,konrad-haenisch-schule,Frankfurt Schulwegweiser,2026-04-06
3115,Käthe-Kollwitz-Schule,Grundschule,grundschulen,Grundschule,1-4,West-Höchster Straße 103,65931,Frankfurt am Main,Frankfurt am Main,Hessen,Zeilsheim,50.0937,8.49565,+49 69 212 45188,+49 69 212 45174,poststelle.kaethe-kollwitz-schule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Nicole Karrock,Frau Schwartzkopff,324.0,12.0,08:00 bis 13:15 Uhr,,Schwerpunkt Neue Technologien,,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Gewaltprävention",,,"""Förderverein der Käthe-Kollwitz-Schule e.V."", Ansprechpartnerin: Susanne Langohr, vorstand@kks-foerderverein.de","Öffnungszeiten: täglich in der 1. Pause. Konzept: Ausleihe, Bücherkisten für Unterrichtsprojekte, Rallyes durch die Bibliothek, Lesenächte, Vorlese- und Bastelnachmittage, Lesungen. Von der Stadtbücherei aufgebaut und organisiert","Käthe Kollwitz (1867-1945), Künstlerin, Sie zählt zu den bekanntesten deutschen Künstlerinnen des 20. Jahrhunderts. Ihre Kunstwerke haben vor allem die Lebensverhältnisse der verarmten Großstadtarbeiterschaft sowie das Elend des Krieges zum Thema.",,,,12.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/kaethe-kollwitz-schule,kaethe-kollwitz-schule,Frankfurt Schulwegweiser,2026-04-06
3162,Liebfrauenschule,Grundschule,grundschulen,Grundschule,1-4,Schäfergasse 23,60313,Frankfurt am Main,Frankfurt am Main,Hessen,Innenstadt,50.1158,8.68464,+49 69 212 35162,+49 69 212 31441,poststelle.liebfrauenschule@stadt-frankfurt.de,http://www.liebfrauenschule.info/,Stadt Frankfurt am Main,,,Susanna Kock,Kerstin Henche,370.0,12.0,,,"Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sport, Schwerpunkte",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Spanisch, Türkisch, Bilingual, Spanisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Spanisch, Türkisch, Bilingual, Spanisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Kooperationspartner, Mittagessen",,Musikalische Grundschule,"""Förderverein Freunde und Förderer der Liebfrauenschule"", Ansprechpartnerin: Frau Kellermann-Galle, poststelle.liebfrauenschule@stadt-frankfurt.de",Erläuterungen der Angebote,Sie geht auf die 1333 errichtete Schola Mariae Virginis (Schule der Jungfrau Maria) zurück.,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/liebfrauenschule,liebfrauenschule,Frankfurt Schulwegweiser,2026-04-06
4384,Liesel-Oestreicher-Schule,Grundschule,grundschulen,Grundschule,1-4,Boskoopstraße 6,60435,Frankfurt am Main,Frankfurt am Main,Hessen,Preungesheim,50.1571,8.69986,+49 69 212 73475,+49 69 212 73500,poststelle.liesel-oestreicher-schule@stadt-frankfurt.de,http://www.liesel-oestreicher-schule.de,Stadt Frankfurt am Main,,,Thilo Schulz,Marie Menje,365.0,16.0,08:00 bis 13:10 Uhr,,,,,Deutsch,Englisch,,,,Englisch,,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Kooperationspartner, Mittagessen, Schüleraustausch",,"MINT-Schule, Jazz-Aktiv-Schule, Internet-ABC-Schule","""Freunde und Förderer der Liesel-Oestreicher-Schule e.V."": foerderverein@liesel-oestreicher-schule.de",Betreut vom Bibliotheksteam (Lehrer und Eltern). Von der Stadtbücherei aufgebaut und organisiert.,"Liesel Oestreicher, 1893 - 1984 Pädagogin",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/liesel-oestreicher-schule,liesel-oestreicher-schule,Frankfurt Schulwegweiser,2026-04-06
3163,Linnéschule,Grundschule,grundschulen,Grundschule,1-4,Linnéstraße 18-20,60385,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1218,8.70664,+49 69 212 35275,+49 69 212 30390,poststelle.linneschule@stadt-frankfurt.de,http://www.linneschule-frankfurt.de,Stadt Frankfurt am Main,,,Tristan Lotz,Natalie Radewagen,343.0,17.0,08:00 bis 13:15 Uhr,,"Schwerpunkt Musik, Schwerpunkt Neue Technologien, Schwerpunkt Sport, Schwerpunkte",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Italienisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Italienisch, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Mittagessen, Kooperationspartner",,"""Gesundheitsfördernde Schule""","""ELFE-Eltern und Lehrer fördern Erziehung an der Linnéschule""",Schullandheim,Carl von Linné (1707-1778) schwedischer Botaniker und Naturforscher,,,,11.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/linneschule,linneschule,Frankfurt Schulwegweiser,2026-04-06
3120,Ludwig-Richter-Schule,Grundschule,grundschulen,Grundschule,1-4,,0None,Frankfurt am Main,Frankfurt am Main,Hessen,Eschersheim,50.1548,8.66127,+49 69 212 33942,+49 69 212 32746,poststelle.ludwig-richter-schule@stadt-frankfurt.de,http://www.ludwigrichterschule.de,Stadt Frankfurt am Main,,,Tobias Oswald,,180.0,9.0,07:55 bis 15:00 Uhr,,,,,Deutsch,"Englisch, Französisch",Englisch,,,"Englisch, Französisch, Englisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Mittagessen, Pausenverkauf",,,"""Freunde und Förderer der Ludwig-Richter-Schule"", Ansprechpartner/in: Schulleitung",,Ludwig Richter (1803-1884) Maler,,,,10.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/ludwig-richter-schule,ludwig-richter-schule,Frankfurt Schulwegweiser,2026-04-06
3158,Ludwig-Weber-Schule,Grundschule,grundschulen,Grundschule,1-4,Paul-Kirchhof-Platz 13,65931,Frankfurt am Main,Frankfurt am Main,Hessen,Sindlingen,50.0879,8.50674,+49 69 212 45465,,poststelle.ludwig-weber-schule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Martin Stojan,,215.0,10.0,08:00 bis 13:30 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung besonderer Begabung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Kooperationspartner",,"2017 Frankfurter Bürgerpreis, 2018 Finalist Frankfurter Schulpreis, 2020 Erhalt der Walter-Möller-Plakette",,Sportangebote,Ludwig Weber (1863-1932) evangelischer Pfarrer,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/ludwig-weber-schule,ludwig-weber-schule,Frankfurt Schulwegweiser,2026-04-06
4392,Main Schule,Grundschule,grundschulen,Grundschule,,Stiftstraße 30,60313,Frankfurt am Main,Frankfurt am Main,Hessen,Innenstadt,50.1164933,8.6812911,+49 69 57801643,+49 69 95454575,info@main-schule.de,https://www.main-schule.de/,Private Träger,BildungPlus e.V.,,Lilia Dejak,,50.0,,,,,,,,,Englisch,"Russisch, Bilingual, Englisch",,"Englisch, Russisch, Bilingual, Englisch",Ganztagsangebote,,,,,,,,,,Grundschule mit Eingangsstufe,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/main-schule,main-schule,Frankfurt Schulwegweiser,2026-04-06
4262,Margarete-Steiff-Schule,Grundschule,grundschulen,"Grundschule, Förderschule",1-4,Platenstraße 75,60431,Frankfurt am Main,Frankfurt am Main,Hessen,Ginnheim,50.1609,8.62134,+49 69 47884680,,info@m-steiff-schule.de,www.m-steiff-schule.de,Private Träger,"Evangelischer Regionalverband Frankfurt und Offenbach, Evangelische Französisch-reformierte Gemeinde",Staatlich genehmigte Ersatzschule,Frau Sehnert,,168.0,8.0,08:30 bis 14:15 Uhr,,,,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Mittagessen",,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/margarete-steiff-schule,margarete-steiff-schule,Frankfurt Schulwegweiser,2026-04-06
4396,Marie-Curie-Schule,Grundschule,grundschulen,Grundschule,1-4,Graf-von-Stauffenberg-Allee 55,60438,Frankfurt am Main,Frankfurt am Main,Hessen,Kalbach-Riedberg,50.1818,8.62449,+49 69 212 77303,+49 69 212 77345,Poststelle.marie-curie-schule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Frau Matzen,Frau Häuber,461.0,15.0,08:30 bis 14:30 Uhr,,,,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"Ganztagsangebote, Mittagessen",,,"""Freundeskreis der Marie-Curie-Schule"", Ansprechpartner/in: Frau Altun-Cseh",Erläuterungen der Angebote,"Marie Curie wurde am 07.11.1867 in Warschau geboren. Sie war eine polnisch-französische Physikerin und Chemikerin, und sie war zweifache Nobelpreisträgerin.",,,mit Pakt für den Nachmittag,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/marie-curie-schule,marie-curie-schule,Frankfurt Schulwegweiser,2026-04-06
4208,Martin-Buber-Schule,Grundschule,grundschulen,Grundschule,1-4,Sachsenhäuser Landwehrweg 301,60598,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.0857,8.68108,+49 69 212 45486,+49 69 212 45480,poststelle.martin-buber-schule@stadt-frankfurt.de,http://www.martinbuberschule.de,Stadt Frankfurt am Main,,,Silja Hirsch,,260.0,12.0,"siehe"" Erläuterungen zu der Unterrichtszeit""",,Schwerpunkt Sprachen,,,Deutsch,"Englisch, Weitere Sprachangebote, Französisch",,,,"Englisch, Weitere Sprachangebote, Französisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Kooperationspartner",,"""Umweltschule 2009""","""Freunde und Förderer der Martin-Buber-Schule e.V."", Ansprechpartner/in: Frau Baptist",,Martin Buber (1878-1965) Religionsphilosoph,,,mit angegliedertem Hort,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/martin-buber-schule,martin-buber-schule,Frankfurt Schulwegweiser,2026-04-06
SW-meisterschule,Meisterschule (Grundschule),Grundschule,grundschulen,"Grundschule, Hauptschule",1-9,Herbert-von-Meister-Straße 5,65931,Frankfurt am Main,Frankfurt am Main,Hessen,Sindlingen,50.0791537,8.5136796,+49 69 212 45523,+49 69 212 45518,poststelle.meisterschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Frau Felicitas Rathke,Rüdiger Angelstein,365.0,20.0,08:00 bis 16:00 Uhr,,"Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Neue Technologien, Schwerpunkt Sport",,,Deutsch,Englisch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",,,"Englisch, Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Mittagessen, Pausenverkauf",,,,,"Dr. Herbert von Meister (1866-1919) Mitbegründer und Gönner der Schule, Chemiker",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/meisterschule,meisterschule,Frankfurt Schulwegweiser,2026-04-06
3164,Merianschule,Grundschule,grundschulen,Grundschule,1-4,Burgstraße 21,60316,Frankfurt am Main,Frankfurt am Main,Hessen,Nordend,50.1238,8.69625,Sekretariat,+49 69 212 39851,poststelle.merianschule@stadt-frankfurt.de,https://www.merianschule-frankfurt.de/,Stadt Frankfurt am Main,,,Sandra Böttger,,289.0,14.0,"siehe ""Erläuterungen zu der Unterrichtszeit""",,"Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Sport, Integrativer Unterricht",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"Ganztagsangebote, Jugendhilfeangebot, Mittagessen",,"Schule der Nachhaltigkeit, Umweltschule, Internet-ABC-Schule, Zertifikat Spielen macht Schule","Förderverein FELS (Förderverein Eltern, Lehrer, SchülerInnen)",Von der Stadtbücherei aufgebaut und organisiert. Tägliche Öffnungs- und Ausleihzeiten,Matthäus Merian (1593-1650) Kupferstecher,,,,11.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/merianschule,merianschule,Frankfurt Schulwegweiser,2026-04-06
SW-metropolitan-school-frankfurt,Metropolitan School Frankfurt (Grundschule),Grundschule,grundschulen,"Grundschule, Integrierte Gesamtschule (IGS)",,Eschborner Landstraße 134,60489,Frankfurt am Main,Frankfurt am Main,Hessen,Rödelheim,50.1295,8.59543,+49 69 96864050,+49 69 968640520,office@m-school.de,http://www.m-school.de,Private Träger,Metropolitan School Frankfurt gGmbH,Staatlich anerkannte Ersatzschule,Peter Ferres,,675.0,19.0,08:30 bis 15:30 Uhr,,"Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Neue Technologien, Schwerpunkt Sprachen",,,Bilingual Deutsch/Englisch,"Englisch, Weitere Sprachangebote, Französisch, Spanisch, Bilingual, Englisch",,,,"Englisch, Weitere Sprachangebote, Französisch, Spanisch, Bilingual, Englisch",Ganztagsangebote,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Mittagessen, Pausenverkauf",,,"""MSF Friends e.V.""",Schulzeitung,,,,Ergänzungsschule für Sek II,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/metropolitan-school-frankfurt,metropolitan-school-frankfurt,Frankfurt Schulwegweiser,2026-04-06
SW-michael-ende-schule,Michael-Ende-Schule (Grundschule),Grundschule,grundschulen,"Grundschule, Haupt- und Realschule",1-10,Niddagaustraße 29,60489,Frankfurt am Main,Frankfurt am Main,Hessen,Rödelheim,50.1284508,8.6112806,Haupt- und Realschule,+49 69 212 44408,poststelle.michael-ende-schule@stadt-frankfurt.de,http://www.michael-ende-schule.net,Stadt Frankfurt am Main,,,Stefan Franz,,675.0,33.0,"siehe ""Erläuterungen zu der Unterrichtszeit""",,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sport",,,Deutsch,Englisch,Englisch,"Französisch, Herkunftssprachlicher Unterricht, Italienisch, Türkisch",,"Englisch, Englisch, Französisch, Herkunftssprachlicher Unterricht, Italienisch, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Hausaufgabenhilfe/-betreuung, Kooperationspartner, Mittagessen, Pausenverkauf",,,"""Verein der Freunde und Förderer der Michael-Ende-Schule e.V.""",,"Michael-Ende (1929-1995) Schriftsteller, Autor von Jim Knopf, Momo, Die unendliche Geschichte",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/michael-ende-schule,michael-ende-schule,Frankfurt Schulwegweiser,2026-04-06
3667,Michael-Grzimek-Schule,Grundschule,grundschulen,Grundschule,1-4,An der Walkmühle 10,60437,Frankfurt am Main,Frankfurt am Main,Hessen,Nieder-Eschbach,50.2004,8.67141,+49 69 212 45544,+49 69 212 45550,poststelle.michael-grzimek-schule@stadt-frankfurt.de,http://michael-grzimek.frankfurt.schule.hessen.de,Stadt Frankfurt am Main,,,Andreas Krauß,Stefanie Seifert,373.0,17.0,08:30 bis 13:35 Uhr,,,,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,Schule mit Frühbetreuung,,,,"""Förderverein der Michael Grzimek-Schule e.V."", Ansprechpartner/in: Katharina Rakelbusch, foerderverein.mgs@googlemail.com",Ganztagsangebote,Michael Grzimek (1934-1959) Sohn des langjährigen Frankfurter Zoodirektors Dr. Bernhard Grzimek,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/michael-grzimek-schule,michael-grzimek-schule,Frankfurt Schulwegweiser,2026-04-06
3101,Minna-Specht-Schule,Grundschule,grundschulen,Grundschule,1-4,Lilo-Günzler-Straße 18,60529,Frankfurt am Main,Frankfurt am Main,Hessen,Schwanheim,50.0855,8.58649,+49 69 212 45563,+49 69 212 45556,poststelle.minna-specht-schule@stadt-frankfurt.de,https://minna-specht-schule.de/,Stadt Frankfurt am Main,,,Markus Witte,Marijana Laukant,260.0,13.0,08:00 bis 13:15 Uhr,,"Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Neue Technologien",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,Jugendhilfeangebot,,,"""Förderverein für die Minna-Specht-Schule in Schwanheim e.V."", Ansprechpartner/in: Herr Dieter Altvater",Förderung der Deutschkenntnisse,Minna Specht (1879-1961) Pädagogin,,,,13.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/minna-specht-schule,minna-specht-schule,Frankfurt Schulwegweiser,2026-04-06
3148,Mühlbergschule,Grundschule,grundschulen,Grundschule,1-4,Lettigkautweg 8,60599,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.0982,8.70286,+49 69 212 45579,,poststelle.muehlbergschule@stadt-frankfurt.de,http://www.muehlbergschule.de,Stadt Frankfurt am Main,,,Elke Rimpf,,390.0,16.0,"siehe ""Erläuterung zu der Unterrichtszeit""",,Schwerpunkt Sprachen,,,Bilingual Deutsch/Italienisch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Kooperationspartner",,,"""Verein der Freunde und Förderer der Mühlbergschule e.V."", Ansprechpartnerin vor Ort: Frau Tamara Kraft, ESB-Leitung",,"Benannt nach dem Ostteil des Sachsenhäuser Berges, an dessen Fuß im Mittelalter mehrere Mühlen betrieben wurden",,,,11.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/muehlbergschule,muehlbergschule,Frankfurt Schulwegweiser,2026-04-06
3102,Münzenbergerschule,Grundschule,grundschulen,Grundschule,1-4,Engelthaler Straße 34,60435,Frankfurt am Main,Frankfurt am Main,Hessen,Eckenheim,50.1506,8.68437,+49 69 212 38756,+49 69 212 38582,poststelle.muenzenbergerschule@stadt-frankfurt.de,http://www.muenzenbergerschule.de,Stadt Frankfurt am Main,,,Iris Braun,Beatrice Schmidt,340.0,14.0,08:00 bis 13:15 Uhr,,"Schwerpunkt Musik, Schwerpunkt Kunst",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch, Portugiesisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch, Portugiesisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,,,Schülerzeitung,Benannt nach dem Geschlecht derer zu Hanau-Münzenberg,,,,13.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/muenzenbergerschule,muenzenbergerschule,Frankfurt Schulwegweiser,2026-04-06
3103,Niddaschule,Grundschule,grundschulen,Grundschule,1-4,Oeserstraße 2,65934,Frankfurt am Main,Frankfurt am Main,Hessen,Nied,50.1015,8.56608,+49 69 212 45557,+49 69 212 45691,poststelle.niddaschule@stadt-frankfurt.de,http://www.niddaschule-frankfurt.de,Stadt Frankfurt am Main,,,Ela S. Kimbel,,272.0,12.0,08:00 bis 13:10 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote",,,"""Förderverein der Niddaschule e.V."", Ansprechpartner/in: Herr Kmetzsch",,"Benannt nach dem Fluss ""Nidda"" (fließt hinter der Schule).",,,,13.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/niddaschule,niddaschule,Frankfurt Schulwegweiser,2026-04-06
3104,Pestalozzischule,Grundschule,grundschulen,Grundschule,1-4,Vatterstraße 1,60386,Frankfurt am Main,Frankfurt am Main,Hessen,Seckbach,50.133,8.73364,Sekretariat,+49 69 212 48356,poststelle.pestalozzischule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Christian Wolf,Amelie Braun,287.0,13.0,08:00 bis 13:10 Uhr,,,,,Bilingual Deutsch/Spanisch,"Englisch, Bilingual, Spanisch",,,,"Englisch, Bilingual, Spanisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,Schule der Nachhaltigkeit,,Schullandheim,"Johann Heinrich Pestalozzi (1746-1827), Schweizer Reformpädagoge",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/pestalozzischule,pestalozzischule,Frankfurt Schulwegweiser,2026-04-06
SW-phorms-frankfurt,Phorms Schule Frankfurt,Grundschule,grundschulen,Grundschule,1-4,Fürstenbergerstraße 3-9,60322,Frankfurt am Main,Frankfurt am Main,Hessen,Nordend,50.1256666,8.6807275,+49 69 17392550,+49 69 17392574,frankfurt@phorms.de,http://www.frankfurt.phorms.de,Private Träger,PHORMS Hessen GmbH,Staatlich anerkannte Ersatzschule,Gabriele Schorn,,300.0,14.0,8:45 - 15:45 Uhr,,"Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Sprachen, MINT-freundliche Schule",,,,,,,,,,,"Ganztägig arbeitende Schule, Mittagessen",,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/phorms-frankfurt,phorms-frankfurt,Frankfurt Schulwegweiser,2026-04-06
SW-private-kant-schule,Private Kant-Schule (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",1-4,Hammanstraße 9,60322,Frankfurt am Main,Frankfurt am Main,Hessen,,50.1248045,8.6766341,+49 69 9551290,+49 69 95512920,info@kant-schule.de,https://www.kant-schule.de/,Private Träger,Stiftung Private Kant-Schulen gGmbH,"Staatlich anerkannte Ersatzschule (Grundstufe), Staatlich genehmigte Ersatzschule (Gymnasium)",Herr Beier,,330.0,,08:15 bis 16:00 Uhr,,,,,Deutsch,Englisch,Englisch,"Französisch, Latein",,"Englisch, Englisch, Französisch, Latein",Ganztagsangebote,,"Ganztägig arbeitende Schule, Ganztagsangebote, Hausaufgabenhilfe/-betreuung",,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/private-kant-schule,private-kant-schule,Frankfurt Schulwegweiser,2026-04-06
3105,Riedhofschule,Grundschule,grundschulen,Grundschule,1-4,Riedhofweg 15-19,60596,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.0928,8.67361,+49 69 212 35264,+49 69 212 34393,poststelle.riedhofschule@stadt-frankfurt.de,http://www.riedhofschule.de,Stadt Frankfurt am Main,,,Martina Ruppel,,295.0,13.0,08:00 bis 13:15 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,,"""Verein der Freunde und Förderer der Riedhofschule"", Ansprechpartner/in: Herr Bitzer",Von der Stadtbücherei aufgebaut und organisiert.,Benannt nach dem im 14. Jahrhundert in der Nähe entstandenen Bauerngehöft,,,,14.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/riedhofschule,riedhofschule,Frankfurt Schulwegweiser,2026-04-06
